Automated Meter Location,Boiler location,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24
F622.ENERGY.CAGE_WASH.kWh,0,42555.0,42572.0,42580.0,42647.0,42882.0,43507.0,44281.0,44699.0,44994.0,45201.0,45210.0,45229.0,45229.0,45263.0,45290.0,45312.0,45370.0,45707.0,46215.0,46984.0,47087.0,47187.0,47232.0,47235.0,47235.0,47236.0,47300.0,47435.0,47992.0,48320.0,48897.0,49431.0,50051.0,50520.0,0,0
F622.ENERGY.GODDARD.FROM_kWh,0,421114.0,421114.0,421114.0,421114.0,421114.0,421114.0,421114.0,421114.0,421114.0,421114.0,421114.0,421114.0,425453.0,433893.0,435173.0,435177.0,435182.0,435456.0,435462.0,444000.0,451365.0,464239.0,489503.0,525602.0,562918.0,589061.0,589723.0,594654.0,599449.0,599728.0,602096.0,604740.0,607114.0,607235.0,0,0
F622.ENERGY.GODDARD.TO_kWh,0,1127171.0,1127533.0,1127677.0,1138495.0,1156940.0,1165584.0,1173401.0,1181430.0,1187853.0,1192410.0,1194015.0,1195865.0,1196543.0,1196545.0,1197555.0,1199087.0,1200345.0,1201899.0,1202221.0,1203435.0,1205067.0,1205752.0,1215265.0,1221427.0,1221607.0,1221985.0,1223758.0,1224777.0,1224800.0,1224800.0,1224802.0,1224803.0,1224803.0,1224803.0,0,0
F622.ENERGY.SOLAR.kWh,WJB Solar,116132.0,117162.0,118553.0,119414.0,120134.0,120603.0,121086.0,121914.0,122774.0,123953.0,125009.0,126034.0,126892.0,128122.0,129164.0,130045.0,130692.0,131269.0,131787.0,132563.0,133397.0,134624.0,135683.0,136672.0,137797.0,138985.0,139855.0,140523.0,141091.0,141529.0,142061.0,142922.0,143831.0,144728.0,0,0
F622.ENERGY.WOOD_BOILER.kWh,WJB,6135120.0,6167850.0,6212450.0,6219740.0,6262940.0,6337750.0,6411530.0,6482980.0,6546150.0,6603390.0,6642190.0,6679690.0,6702810.0,6703390.0,6745930.0,6799380.0,6864210.0,6942510.0,7029980.0,7114750.0,7178890.0,7223000.0,7263390.0,7275510.0,7275510.0,7292910.0,7342690.0,7396200.0,7476110.0,7553830.0,7640740.0,7720250.0,7784190.0,7849140.0,0,0
F812.ENERGY.OWHEO_MTR.ENERGY,Owheo/ Bil Rob,6844400.0,6847700.0,6879400.0,6926400.0,7006200.0,7122700.0,7241000.0,7352400.0,7450100.0,7530800.0,7576400.0,7618100.0,7642000.0,7671700.0,7706100.0,7768400.0,7855600.0,7953500.0,8063300.0,8184200.0,8264400.0,8328200.0,8376900.0,8412500.0,8447900.0,8482300.0,8520700.0,8577600.0,8674300.0,8765200.0,8866700.0,8981200.0,9066700.0,9133000.0,0,0
F813.MBUS.MTR.KWH,Robertson Lib,1898.8,1898.9,1900.8,1903.3,1922.0,1946.0,1985.0,2011.0,2030.0,2051.0,2061.0,2071.0,2081.0,2088.0,2095.0,2107.0,2120.0,2140.0,2182.0,2215.0,2225.0,2252.4,2263.4,2270.0,2276.0,2284.0,2292.0,2300.0,2310.0,2330.0,2350.0,2370.0,2406.0,2410.0,0,0
F916.ENERGY.BLR_MTR.ENERGY,CoE ,14105200.0,14105200.0,14114800.0,14161900.0,14344000.0,14563300.0,14896900.0,15161700.0,15446000.0,15656700.0,15719000.0,15719000.0,15719000.0,15719000.0,15761900.0,15861200.0,16088300.0,16315900.0,16658700.0,16963700.0,17177500.0,17343200.0,17441300.0,17441300.0,17441300.0,17441300.0,17572600.0,17763000.0,18004800.0,18114000.0,18171900.0,18443300.0,18662100.0,18833700.0,0,0
H538.ENERGY.BLR_MTR.ENERGY,Childcare,3363840.0,3389880.0,3432130.0,3475300.0,3537250.0,3612940.0,3692570.0,3757910.0,3815650.0,3864910.0,3908610.0,3946020.0,3971700.0,4002910.0,4057170.0,4116780.0,4183680.0,4261590.0,4333340.0,4407280.0,4458880.0,4517740.0,4576390.0,4615770.0,4644880.0,4679900.0,4722680.0,4780230.0,4862870.0,4938530.0,5009530.0,5080000.0,5150500.0,5221150.0,0,0
H402 St David II Chilled Water Energy  (Desigo),0,73.4,74.6,74.6,74.6,74.6,74.6,74.8,75.7,76.1,77.0,79.8,82.8,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.8,89.7,91.4,91.6,94.0,98.59,103.0,104.75,106.1100006,107.2,107.29,107.4199982,107.7699966,108.3799973,109.48,0,0
H538.ENERGY.CSAFE_31_MONT.POWER,CSAFE,93430.0,98130.0,104190.0,111610.0,121970.0,134100.0,148240.0,161610.0,173110.0,183720.0,190010.0,194800.0,198330.0,202020.0,208300.0,215360.0,226870.0,241060.0,258290.0,275870.0,289500.0,299960.0,305100.0,308670.0,312220.0,316100.0,320200.0,325490.0,333240.0,342820.0,359820.0,376820.0,393820.0,410820.0,0,0
H538.ENERGY.MONT_HEAT.ENERGY,Montgomery,0.0,0.0,0.0,0.0,0.0,0.0,3310.0,5690.0,7680.0,9270.0,9950.0,10500.0,10730.0,11070.0,12000.0,13300.0,15110.0,17200.0,19070.0,21100.0,22300.0,23800.0,24560.0,24830.0,25070.0,25870.0,27180.0,29000.0,31660.0,34410.0,36310.0,38000.0,39690.0,41450.0,0,0
H634.ENERGY.MTR.ENERGY,Arana,7228900.0,7285700.0,7369100.0,7454200.0,7600900.0,7789000.0,8007700.0,8194200.0,8364400.0,8512200.0,8572400.0,8598900.0,8627300.0,8666600.0,8751300.0,8851000.0,8998300.0,9164400.0,9356000.0,9559700.0,9714600.0,9850500.0,9913600.0,9913600.0,9913600.0,9913600.0,9913600.0,9913600.0,9913600.0,9913600.0,9913600.0,9913600.0,9913600.0,9913600.0,0,0
XI17 Invercargill Southland Learning Centre (Desigo),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157482.0,158075.0,160758.0,165418.0,172598.0,180199.0,188213.0,195213.0,199713.0,202713.0,204010.0,205170.0,205572.0,205860.0,209123.0,215438.0,221993.0,228480.0,234740.0,240318.0,244805.0,250247.0,0,0
J141 Aquinas Priory solar (Desigo),0,57138.0,58979.0,61126.0,62597.0,63432.0,63711.0,64112.0,65460.0,66861.0,68581.0,69673.0,70873.0,71451.0,71743.0,73181.0,74545.0,75286.0,75591.0,76072.0,76853.0,78268.0,79843.0,80647.0,80982.0,81664.0,82951.0,83963.0,84791.0,85253.0,85479.0,85759.0,86516.0,87112.0,87830.0,0,0
E308 Student Health,0,42302.0,42498.0,42696.0,42974.0,43100.0,43280.0,43413.0,43413.0,43413.0,43413.0,43414.5,43414.5,43414.5,43414.5,43414.5,43414.5,43414.5,43414.5,43414.5,43414.5,43414.5,43414.5,43414.5,43414.5,43414.5,43414.5,43439.0,43448.0,44001.0,44016.0,44300.0,44782.0,45253.0,45765.0,0,0
